Visual features error
0	-0.0280796	0	0	0.0166421	0	0	-0.00624376	0	0	-nan	0	0	-nan	0	0	-nan	0	
1	-0.0280796	0	1	0.0166421	0	1	-0.00624376	0	1	-nan	0	1	-nan	0	1	-nan	0	
2	-0.0280796	0	2	0.0166421	0	2	-0.00624376	0	2	-nan	0	2	-nan	0	2	-nan	0	
3	-0.107852	0	3	0.0294119	0	3	-0.11423	0	3	-0.579769	0	3	0.0640809	0	3	2.48995	0	
4	-0.107852	0	4	0.0294124	0	4	-0.11423	0	4	-0.579777	0	4	0.0640825	0	4	2.48995	0	
5	-0.107852	0	5	0.0294125	0	5	-0.11423	0	5	-0.579772	0	5	0.0640851	0	5	2.48995	0	
6	-0.107852	0	6	0.0294131	0	6	-0.11423	0	6	-0.579774	0	6	0.0640871	0	6	2.48995	0	
7	-0.107852	0	7	0.0294123	0	7	-0.11423	0	7	-0.579772	0	7	0.0640822	0	7	2.48995	0	
8	-0.107851	0	8	0.0294121	0	8	-0.114229	0	8	-0.57977	0	8	0.06409	0	8	2.48995	0	
9	-0.107851	0	9	0.0294123	0	9	-0.114229	0	9	-0.579766	0	9	0.0640903	0	9	2.48995	0	
10	-0.107851	0	10	0.0294129	0	10	-0.114229	0	10	-0.579756	0	10	0.0640947	0	10	2.48995	0	
11	-0.107852	0	11	0.0294126	0	11	-0.114229	0	11	-0.579769	0	11	0.0640862	0	11	2.48995	0	
12	-0.107851	0	12	0.0294129	0	12	-0.114229	0	12	-0.579761	0	12	0.0640977	0	12	2.48995	0	
13	-0.107852	0	13	0.029412	0	13	-0.11423	0	13	-0.579767	0	13	0.0640795	0	13	2.48995	0	
14	-0.107852	0	14	0.0294123	0	14	-0.114229	0	14	-0.579767	0	14	0.0640877	0	14	2.48995	0	
15	-0.107851	0	15	0.0294121	0	15	-0.114229	0	15	-0.579767	0	15	0.0640904	0	15	2.48995	0	
16	-0.107852	0	16	0.0294122	0	16	-0.11423	0	16	-0.579773	0	16	0.0640851	0	16	2.48995	0	
17	-0.107851	0	17	0.0294121	0	17	-0.114228	0	17	-0.579748	0	17	0.064099	0	17	2.48995	0	
18	-0.107852	0	18	0.0294119	0	18	-0.11423	0	18	-0.579767	0	18	0.0640825	0	18	2.48995	0	
19	-0.107851	0	19	0.0294123	0	19	-0.114229	0	19	-0.579765	0	19	0.064091	0	19	2.48995	0	
20	-0.107852	0	20	0.0294122	0	20	-0.114229	0	20	-0.579769	0	20	0.0640864	0	20	2.48995	0	
21	-0.10785	0	21	0.029412	0	21	-0.114228	0	21	-0.579751	0	21	0.0640972	0	21	2.48995	0	
22	-0.107851	0	22	0.0294116	0	22	-0.114229	0	22	-0.579757	0	22	0.0640927	0	22	2.48995	0	
23	-0.107852	0	23	0.0294125	0	23	-0.114229	0	23	-0.579769	0	23	0.0640862	0	23	2.48995	0	
24	-0.107851	0	24	0.0294121	0	24	-0.114228	0	24	-0.579753	0	24	0.0640961	0	24	2.48995	0	
25	-0.107851	0	25	0.0294123	0	25	-0.114229	0	25	-0.57976	0	25	0.064092	0	25	2.48995	0	
26	-0.107851	0	26	0.029412	0	26	-0.114228	0	26	-0.579756	0	26	0.0640971	0	26	2.48995	0	
27	-0.107851	0	27	0.0294121	0	27	-0.114229	0	27	-0.579758	0	27	0.0640959	0	27	2.48995	0	
28	-0.107851	0	28	0.0294123	0	28	-0.114229	0	28	-0.579769	0	28	0.0640865	0	28	2.48995	0	
29	-0.107851	0	29	0.0294123	0	29	-0.114229	0	29	-0.579755	0	29	0.0640942	0	29	2.48995	0	
30	-0.107851	0	30	0.0294122	0	30	-0.114229	0	30	-0.579763	0	30	0.0640894	0	30	2.48995	0	
31	-0.107852	0	31	0.0294121	0	31	-0.114229	0	31	-0.579766	0	31	0.0640868	0	31	2.48995	0	
32	-0.107851	0	32	0.0294129	0	32	-0.114229	0	32	-0.579765	0	32	0.0640912	0	32	2.48995	0	
33	-0.107851	0	33	0.0294126	0	33	-0.114228	0	33	-0.579753	0	33	0.0640994	0	33	2.48995	0	
34	-0.107851	0	34	0.0294115	0	34	-0.114228	0	34	-0.579754	0	34	0.0640949	0	34	2.48995	0	
35	-0.107851	0	35	0.0294121	0	35	-0.114229	0	35	-0.579766	0	35	0.06409	0	35	2.48995	0	
36	-0.107851	0	36	0.0294123	0	36	-0.114229	0	36	-0.579752	0	36	0.0640933	0	36	2.48995	0	
37	-0.107851	0	37	0.0294118	0	37	-0.114228	0	37	-0.579755	0	37	0.0640941	0	37	2.48995	0	
38	-0.107851	0	38	0.0294122	0	38	-0.114228	0	38	-0.579755	0	38	0.0640964	0	38	2.48995	0	
39	-0.107851	0	39	0.029412	0	39	-0.114228	0	39	-0.579753	0	39	0.0640931	0	39	2.48995	0	
40	-0.107851	0	40	0.0294127	0	40	-0.114229	0	40	-0.579762	0	40	0.0640906	0	40	2.48995	0	
41	-0.10785	0	41	0.0294118	0	41	-0.114229	0	41	-0.579752	0	41	0.064095	0	41	2.48995	0	
42	-0.10785	0	42	0.0294116	0	42	-0.114228	0	42	-0.579747	0	42	0.0641012	0	42	2.48995	0	
43	-0.107851	0	43	0.0294116	0	43	-0.114229	0	43	-0.579754	0	43	0.0640875	0	43	2.48995	0	
44	-0.107851	0	44	0.0294118	0	44	-0.114228	0	44	-0.579747	0	44	0.0640977	0	44	2.48995	0	
45	-0.107851	0	45	0.029412	0	45	-0.114228	0	45	-0.579751	0	45	0.0640983	0	45	2.48995	0	
